Method,Min,Max,Mean,Std,Energy,Spatial_Resolution,Nonzero_Pixels
Tikhonov,0.0,0.004039181774855991,0.00045313479078515584,0.0009717933180965389,0.002990404531855885,19.931149940667517,530
Kaczmarz,0.0,0.06315917434499695,0.0011845385492335314,0.005281999365420323,0.07621618971326546,1.5957691216057308,147
LSQR,0.0,0.0027436779095188534,0.0005305356094898363,0.0007727233797571884,0.0022851591513108824,24.977737626138797,978
Iterative_Tikhonov,0.0,0.0012555589960530095,0.00036059518783104576,0.00038122635746048214,0.0007162176677097953,29.25093116572581,1501
CNN,4.272959158614959e-34,1.0,0.12412513792514801,0.3149743974208832,298.1160583496094,20.153496341094687,380
